조사일,조사구분,지역,이삭도열병 (피해율),흰잎마름병 (피해율),세균벼알마름병 (피해율),깨씨무늬병 (피해율),벼멸구 (피해율),흰등멸구 (피해율),혹명나방 (피해율),먹노린재 (피해율),잎도열병 (피해율),잎집무늬마름병 (피해율),줄무늬잎마름병 (피해율),벼잎벌레 (피해율),벼애잎굴파리 (피해율),벼줄기굴파리 (피해율),애멸구 (피해율),끝동매미충 (피해율),벼물바구미 (피해율),멸강나방 (피해율),이화명나방1화기 (피해율),잎도열병 (발생추정면적),잎도열병 (감수율),잎도열병 (발생면적율),이삭도열병 (발생추정면적),이삭도열병 (감수율),이삭도열병 (발생면적율),잎집무늬마름병 (발생추정면적),잎집무늬마름병 (감수율),잎집무늬마름병 (발생면적율),흰잎마름병 (발생추정면적),흰잎마름병 (감수율),흰잎마름병 (발생면적율),세균벼알마름병 (발생추정면적),세균벼알마름병 (감수율),세균벼알마름병 (발생면적율),줄무늬잎마름병 (발생면적),줄무늬잎마름병 (감수율),줄무늬잎마름병 (발생면적률),벼검은줄오갈병 (발생면적),벼검은줄오갈병 (감수율),벼검은줄오갈병 (피해율),벼검은줄오갈병 (발생면적률),오갈병 (발생면적),오갈병 (감수율),오갈병 (피해율),오갈병 (발생면적률),이삭누룩병 (발생추정면적),이삭누룩병 (감수율),이삭누룩병 (피해율),이삭누룩병 (발생면적율),깨씨무늬병 (발생추정면적),깨씨무늬병 (감수율),깨씨무늬병 (발생면적율),벼잎벌레 (발생추정면적),벼잎벌레 (감수율),벼잎벌레 (발생면적율),벼애잎굴파리 (발생추정면적),벼애잎굴파리 (감수율),벼애잎굴파리 (발생면적율),벼줄기굴파리 (발생추정면적),벼줄기굴파리 (감수율),벼줄기굴파리 (발생면적율),애멸구 (발생추정면적),애멸구 (감수율),애멸구 (발생면적율),끝동매미충 (발생추정면적),끝동매미충 (감수율),끝동매미충 (발생면적율),벼멸구 (발생추정면적),벼멸구 (감수율),벼멸구 (발생면적율),흰등멸구 (발생추정면적),흰등멸구 (감수율),흰등멸구 (발생면적율),벼물바구미 (발생추정면적),벼물바구미 (감수율),벼물바구미 (발생면적율),혹명나방 (발생추정면적),혹명나방 (감수율),혹명나방 (발생면적율),멸강나방 (발생추정면적),멸강나방 (감수율),멸강나방 (발생면적율),먹노린재 (발생추정면적),먹노린재 (감수율),먹노린재 (발생면적율),이화명나방1화기 (발생면적),이화명나방1화기 (감수율),이화명나방1화기 (발생면적률),이화명나방2화기 (발생면적),이화명나방2화기 (감수율),이화명나방2화기 (피해율),이화명나방2화기 (발생면적률)
2015.07.01,기본조사,광양시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,구례군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,나주시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,담양군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,무안군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,보성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.027,0.0,0.0,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,순천시,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,신안군,,,,0.0,0.0,0.163,0.0,0.003,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.025,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,여수시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,영광군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,영암군,,,,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,완도군,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,장성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,장흥군,,,,,,,,0.12,,,,0.18,0.07,0.24,0.05,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,진도군,,,,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,함평군,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,해남군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.01,기본조사,화순군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.16,기본조사,강진군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.16,기본조사,고흥군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.16,기본조사,곡성군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.16,기본조사,광양시,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.07.16,기본조사,구례군,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
