번호,설치년도,노선,이정,방향,명칭
1,2015,수도권제1순환선,76,내측,김포
2,2015,수도권제1순환선,77,외측,김포
3,2015,수도권제1순환선,95.8,내측,시흥
4,2015,수도권제1순환선,95.8,외측,시흥
5,2015,서해안선,327.5,서울,서서울
6,2015,서해안선,327.5,목포,서서울
7,2017,영동선,10.5,인천,군자
8,2013,영동선,30.2,강릉,이목
9,2014,영동선,45.1,강릉,용인
10,2011,서해안선,293.4,목포,향남
11,2020,평택제천선,18.3,평택,송탄
12,2020,평택제천선,18.3,제천,송탄
13,2013,경부선,379.6,부산,오산
14,2012,경부선,379.6,서울,오산
15,2012,경부선,371.8,부산,남사
16,2013,경부선,361.1,서울,원곡
17,2011,중부선,353.4,통영,번천
18,2012,중부선,353.3,하남,번천
19,2012,중부선,336.2,통영,도척
20,2012,중부선,336.2,하남,도척
21,2012,제2중부선,351.8,통영,상번천
22,2012,제2중부선,351.8,하남,상번천
23,2015,수도권제1순환선,121.5,외측,청계
24,2015,수도권제1순환선,5.1,외측,성남
25,2015,수도권제1순환선,26.9,내측,구리남양주
26,2020,구리포천선,31.6,포천,소흘
27,2020,구리포천선,31.6,구리,소흘
28,2014,영동선,89.5,강릉,생태습지
29,2012,영동선,99,인천,적금
30,2012,영동선,99,강릉,적금
31,2012,영동선,135.6,인천,소초
32,2012,영동선,135.6,강릉,소초
33,2013,영동선,167.3,인천,삽교
34,2013,영동선,167.3,강릉,삽교
35,2011,영동선,202.2,인천,월정
36,2012,영동선,202.2,강릉,월정
37,2016,영동선,214.2,인천,대관령
38,2016,영동선,226,강릉,대관령전망대
39,2012,중앙선,366.8,부산,홍천강
40,2011,중앙선,316,부산,만종
41,2011,중앙선,316,춘천,만종
42,2018,중앙선,345.1,춘천,횡성
43,2018,중앙선,346,부산,횡성
44,2014,서울양양선,70.4,서울,북방
45,2017,서울양양선,57.4,양양,동산
46,2022,서울양양선,13,양양,화도
47,2022,서울양양선,13,서울,화도
48,2022,서울양양선,52,서울,남산
49,2016,동해선,11.7,근덕,단봉
50,2016,동해선,109.3,삼척,강현
51,2016,동해선,109.3,속초,강현
52,2017,서울양양선,106.4,양양,인제
53,2017,서울양양선,106,서울,인제
54,2017,서울양양선,141.1,양양,양양
55,2017,서울양양선,141.2,서울,양양
56,2014,영동선,76,인천,이천
57,2015,영동선,76.8,강릉,이천
58,2016,중부내륙선,279,양평,여주
59,2016,중부내륙선,279,내서,여주
60,2011,중부선,319,통영,모가
61,2011,중부선,319,하남,모가
62,2012,중부선,305.9,통영,일죽
63,2011,중부선,305.9,하남,일죽
64,2011,중부선,293.3,하남,대소
65,2011,중부선,279.2,하남,진천
66,2016,중부선,277.4,통영,농다리
67,2011,중부선,263.4,통영,오창
68,2011,중부선,263.4,하남,오창
69,2014,중앙선,287,춘천,봉양
70,2013,중부내륙선,257.8,내서,가남
71,2011,중부내륙선,245.7,양평,앙성
72,2015,중부내륙선,236.4,내서,노은
73,2015,중부내륙선,224.1,양평,대소원
74,2012,당진영덕선(청주영덕),16.6,청주,회인
75,2012,당진영덕선(청주영덕),34.2,청주,탄부
76,2012,당진영덕선(청주영덕),34.1,영덕,탄부
77,2012,당진영덕선(청주영덕),59.7,청주,상주
78,2012,당진영덕선(청주영덕),62.8,영덕,상주
79,2014,평택제천선,93.5,평택,중앙탑
80,2014,평택제천선,93.5,제천,중앙탑
81,2015,평택제천선,124.6,평택,금성
82,2015,평택제천선,124.6,제천,금성
83,2019,평택제천선,54.3,평택,광혜원
84,2012,중부내륙선,188,내서,문경
85,2011,중부내륙선,152,내서,사벌
86,2011,중부내륙선,149,양평,낙상
87,2021,중부내륙선,182.7,양평,문경
88,2014,경부선,355,부산,연곡
89,2012,경부선,350.4,부산,입장
90,2020,경부선,308,서울,옥산
91,2013,경부선,280.1,부산,신탄진
92,2012,호남지선,37.1,논산,서대전
93,2012,호남지선,44.8,회덕,유성
94,2012,호남지선,49.1,논산,북대전
95,2015,호남지선,49.1,회덕,북대전
96,2012,경부선,261.8,부산,옥천
97,2012,경부선,263.1,서울,옥천
98,2015,경부선,242,서울,청성
99,2012,경부선,214.6,부산,추풍령
100,2012,경부선,214.6,서울,추풍령
101,2016,대전남부순환선,12.4,산내,산내
102,2012,서해안선,265.9,목포,당진
